CHEBI:30887	C00311
CHEBI:5999	C09546
CHEBI:6003	C09115
CHEBI:6004	C09117
CHEBI:6009	C11002
CHEBI:6011	C10601
CHEBI:18220	C00799
CHEBI:6015	C07518
CHEBI:6019	C09485
CHEBI:6020	C10971
CHEBI:310312	C08650
CHEBI:28189	C00252
CHEBI:27649	C02160
CHEBI:6030	C07054
CHEBI:6032	C07446
CHEBI:16483	C00927
CHEBI:28596	C03870
CHEBI:18165	C05557
CHEBI:16584	C00129
CHEBI:17293	C02161
CHEBI:6039	C09118
CHEBI:6042	C09787
CHEBI:6043	C07055
CHEBI:17889	C06051
CHEBI:16092	C06323
CHEBI:6053	C10266
CHEBI:15413	C06561
CHEBI:6059	C10097
CHEBI:6063	C08494
CHEBI:6068	C09759
CHEBI:30838	C00490
CHEBI:6077	C09488
CHEBI:6079	C10074
CHEBI:6081	C10768
CHEBI:6084	C08490
CHEBI:6086	C09120
CHEBI:6088	C10811
CHEBI:6090	C10473
CHEBI:6091	C09121
CHEBI:6093	C10633
CHEBI:6098	C10640
CHEBI:6102	C01505
CHEBI:16823	C03281
CHEBI:28185	C01823
CHEBI:6110	C10233
CHEBI:6111	C09122
CHEBI:6113	C08693
CHEBI:6114	C09942
CHEBI:6121	C07525
CHEBI:6123	C07464
CHEBI:24960	C01928
CHEBI:17529	C02549
CHEBI:6140	C10859
CHEBI:6142	C10701
CHEBI:6144	C09948
CHEBI:6145	C10813
CHEBI:16303	C03401
CHEBI:48950	C03283
CHEBI:15885	C04075
CHEBI:37023	C00956
CHEBI:17917	C04076
CHEBI:28936	C05973
CHEBI:15334	C02983
CHEBI:15512	C05231
CHEBI:16342	C03703
CHEBI:17732	C00886
CHEBI:28718	C05519
CHEBI:6177	C05405
CHEBI:17535	C00259
CHEBI:6182	C11476
CHEBI:35423	C06238
CHEBI:15516	C01894
CHEBI:17097	C06588
CHEBI:3115	C08851
CHEBI:28763	C06641
CHEBI:3122	C03779
CHEBI:17618	C04333
CHEBI:17257	C03646
CHEBI:3129	C10915
CHEBI:4294	C00578
CHEBI:4299	C04250
CHEBI:4300	C11475
CHEBI:4303	C11709
CHEBI:4308	C10414
CHEBI:4310	C10416
CHEBI:4312	C10996
CHEBI:4317	C06939
CHEBI:4320	C09924
CHEBI:4321	C09080
CHEBI:15749	C01163
CHEBI:28251	C05592
CHEBI:17092	C02634
CHEBI:17403	C02635
CHEBI:1472	C03585
CHEBI:28187	C03059
CHEBI:17236	C00682
CHEBI:15475	C07343
CHEBI:27505	C05460
CHEBI:16466	C01301
CHEBI:18402	C04722
CHEBI:5397	C08403
CHEBI:5401	C08406
CHEBI:5403	C08408
CHEBI:5406	C08411
CHEBI:5411	C08415
CHEBI:5414	C08418
CHEBI:5416	C08420
CHEBI:17234	C00293
CHEBI:16063	C06740
CHEBI:18368	C01190
CHEBI:5427	C11245
CHEBI:28300	C00303
CHEBI:29166	C02282
CHEBI:5435	C07275
CHEBI:15524	C00527
CHEBI:16856	C00051
CHEBI:5440	C09673
CHEBI:16470	C01701
CHEBI:17138	C00661
CHEBI:17754	C00116
CHEBI:17270	C02979
CHEBI:16016	C00184
CHEBI:16108	C00111
CHEBI:30966	C10920
CHEBI:15428	C00037
CHEBI:5462	C10685
CHEBI:17687	C01921
CHEBI:27471	C05464
CHEBI:28087	C00182
CHEBI:30742	C01380
CHEBI:17071	C00266
CHEBI:17497	C00160
CHEBI:33563	C05005
CHEBI:5479	C10686
CHEBI:5480	C10687
CHEBI:17089	C00326
CHEBI:5088	C07809
CHEBI:5095	C09453
CHEBI:5096	C09928
CHEBI:5098	C11748
CHEBI:50885	C07004
CHEBI:5106	C07005
CHEBI:17922	C06712
CHEBI:5115	C11272
CHEBI:28826	C11147
CHEBI:5122	C10967
CHEBI:5123	C07010
CHEBI:5125	C07955
CHEBI:5131	C11100
CHEBI:5133	C10908
CHEBI:5135	C10989
CHEBI:27470	C00504
CHEBI:16842	C00067
CHEBI:16397	C00488
CHEBI:30751	C00058
CHEBI:18088	C00858
CHEBI:16729	C02405
CHEBI:36575	C05653
CHEBI:5158	C11221
CHEBI:5159	C02150
CHEBI:5166	C10003
CHEBI:5168	C10349
CHEBI:5169	C09265
CHEBI:5171	C08626
CHEBI:28757	C01496
CHEBI:28614	C05003
CHEBI:5177	C09454
CHEBI:5178	C09191
CHEBI:5179	C09008
CHEBI:5180	C10226
CHEBI:27865	C08817
CHEBI:5186	C08596
CHEBI:5188	C09778
CHEBI:48635	C09668
CHEBI:18012	C00122
CHEBI:5191	C09444
CHEBI:5192	C10145
CHEBI:5197	C10681
CHEBI:5199	C10146
CHEBI:5200	C09093
CHEBI:29013	C06694
CHEBI:5203	C10574
CHEBI:27938	C06136
CHEBI:28424	C06133
CHEBI:17552	C00035
CHEBI:16955	C01222
CHEBI:18412	C05945
CHEBI:17196	C00152
CHEBI:17053	C00049
CHEBI:17159	C02290
CHEBI:17661	C03117
CHEBI:16097	C02977
CHEBI:27886	C05386
CHEBI:4814	C07467
CHEBI:4817	C09408
CHEBI:4820	C09162
CHEBI:4822	C07543
CHEBI:16933	C01694
CHEBI:4830	C08865
CHEBI:28412	C05631
CHEBI:18085	C02545
CHEBI:15459	C00566
CHEBI:15615	C04529
CHEBI:15616	C01186
CHEBI:15617	C05786
CHEBI:15618	C05912
CHEBI:15622	C04575
CHEBI:15623	C04349
CHEBI:15624	C04471
CHEBI:232	C11408
CHEBI:241	C11406
CHEBI:15552	C01312
CHEBI:15555	C00696
CHEBI:15556	C04835
CHEBI:15629	C04822
CHEBI:15645	C03325
CHEBI:15648	C04271
CHEBI:15654	C04594
CHEBI:15655	C04717
CHEBI:15658	C07354
CHEBI:268	C07357
CHEBI:269	C02487
CHEBI:272	C11318
CHEBI:15460	C06736
CHEBI:15662	C04433
CHEBI:15663	C11514
CHEBI:15668	C04434
CHEBI:15464	C02611
CHEBI:17020	C02101
CHEBI:15943	C02768
CHEBI:300	C09902
CHEBI:301	C09875
CHEBI:15675	C03194
CHEBI:33197	C03195
CHEBI:15684	C04272
CHEBI:15583	C02488
CHEBI:17893	C02489
CHEBI:32796	C01087
CHEBI:18354	C11496
CHEBI:16825	C04351
CHEBI:15587	C01088
CHEBI:16003	C03964
CHEBI:15452	C03561
CHEBI:28573	C05278
CHEBI:326	C05747
CHEBI:15769	C04352
CHEBI:16654	C01053
CHEBI:15899	C01143
CHEBI:15686	C00810
CHEBI:18146	C11818
CHEBI:27482	C06349
CHEBI:42111	C00256
CHEBI:30796	C00497
CHEBI:17656	C01983
CHEBI:16387	C05243
CHEBI:27751	C06347
CHEBI:16719	C01012
CHEBI:28972	C02912
CHEBI:17428	C05178
CHEBI:15694	C03451
CHEBI:16982	C03044
CHEBI:15671	C00898
CHEBI:18417	C06348
CHEBI:15678	C02350
CHEBI:367	C11391
CHEBI:16346	C11348
CHEBI:18409	C06010
CHEBI:15791	C02103
CHEBI:32797	C03196
CHEBI:18129	C03045
CHEBI:15466	C00683
CHEBI:15467	C00356
CHEBI:17290	C03197
CHEBI:35342	C03336
CHEBI:16418	C04518
CHEBI:27832	C05487
CHEBI:16129	C04806
CHEBI:17252	C01176
CHEBI:791	C11237
CHEBI:35343	C03051
CHEBI:16485	C01124
CHEBI:797	C11642
CHEBI:75308	C05295
CHEBI:802	C11681
CHEBI:17845	C04673
CHEBI:16322	C01284
CHEBI:16783	C01272
CHEBI:18228	C01243
CHEBI:16067	C11555
CHEBI:17816	C01220
CHEBI:18295	C00388
CHEBI:18297	C01177
CHEBI:27844	C02353
CHEBI:28637	C02355
CHEBI:28150	C09975
CHEBI:18414	C03663
CHEBI:27769	C10684
CHEBI:17955	C04232
CHEBI:16516	C04283
CHEBI:16035	C03567
CHEBI:17678	C02920
CHEBI:28206	C02921
CHEBI:847	C09774
CHEBI:18289	C06415
CHEBI:855	C11569
CHEBI:857	C03210
CHEBI:15718	C06355
CHEBI:29056	C04919
CHEBI:16683	C03458
CHEBI:28119	C07557
CHEBI:16266	C04638
CHEBI:17720	C01159
CHEBI:28907	C03339
CHEBI:15469	C00605
CHEBI:18383	C06393
CHEBI:16965	C03052
CHEBI:15689	C04039
CHEBI:16725	C06580
CHEBI:18026	C00196
CHEBI:17828	C02775
CHEBI:18404	C02923
CHEBI:27903	C07100
CHEBI:28755	C07098
CHEBI:17811	C00691
CHEBI:902	C02111
CHEBI:16106	C04625
CHEBI:16738	C02625
CHEBI:28854	C03664
CHEBI:27900	C06558
CHEBI:915	C06201
CHEBI:16489	C03212
CHEBI:42017	C02496
CHEBI:66932	C11283
CHEBI:17244	C06339
CHEBI:29114	C01304
CHEBI:929	C05923
CHEBI:28975	C06599
CHEBI:28558	C07095
CHEBI:18080	C04105
CHEBI:17189	C00628
CHEBI:16364	C01059
CHEBI:28643	C04744
CHEBI:943	C11040
CHEBI:28457	C07096
CHEBI:949	C11041
CHEBI:17681	C03056
CHEBI:955	C10787
CHEBI:2212	C02381
CHEBI:28871	C08434
CHEBI:2215	C07540
CHEBI:17637	C02657
CHEBI:28762	C06353
CHEBI:2222	C08762
CHEBI:15944	C05203
CHEBI:28784	C08245
CHEBI:28011	C09825
CHEBI:48928	C00345
CHEBI:27887	C03847
CHEBI:2233	C04534
CHEBI:16271	C03092
CHEBI:17332	C03848
CHEBI:16861	C03368
CHEBI:2245	C09650
CHEBI:2247	C01037
CHEBI:17109	C01249
CHEBI:17313	C03093
CHEBI:17508	C01111
CHEBI:15838	C04712
CHEBI:27910	C05107
CHEBI:2260	C11636
CHEBI:2262	C11662
